#GENE	COV-1-1	COV-10-1	COV-2-1	COV-3-1	COV-4-1	COV-5-1	COV-7-1	COV-8-1	THR-238	THR-303	THR-313	THR-337	THR-369	THR-399	THR-415	THR-417	THR-428	THR-432
AARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	2	0	1	4	3	3	1	4	2	3	2	4	0	1	1	1	4	0
AASDH	0	1	0	0	0	14	52	5	3	0	4	3	0	0	2	70	9	80
AASDHPPT	328	45	146	182	118	12	123	162	620	921	359	232	367	230	158	461	349	243
AASS	0	20	0	0	94	0	0	19	46	61	10	0	0	4	6	12	0	0
AATBC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	228	38	65	2	47	4	129	12	263	112	54	84	0	51	72	132	77	83
AATK	63	571	175	90	611	22	205	71	328	873	316	83	534	347	167	448	324	166
ABALON	76	53	64	18	69	22	59	19	62	30	34	22	51	47	69	26	92	12
ABAT	1389	959	1925	2205	648	884	1347	2008	1678	1553	863	338	1051	362	764	578	1356	629
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01006766.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01010928.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031669.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	0	3	0	0	0	0	0	0	1	15	1	5	6	0	0	0	0	0
ABCA10	26	0	0	0	0	9	0	0	19	2	10	15	37	24	7	14	2	1
ABCA11P	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
ABCA12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	8	0	0	48	0	0	68	8	0	0	0	0	1	0	0	14	22	0
ABCA17P	5	6	10	34	1	1	8	0	1	16	126	2	30	5	1	13	9	2
ABCA2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ABCA3	507	879	766	375	1270	300	1138	579	885	917	626	381	607	698	587	515	801	349
ABCA4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ABCA5	7	0	8	15	0	2	20	0	0	0	0	0	34	49	4	0	37	0
ABCA6	165	206	4	227	141	19	726	35	199	2895	81	221	64	130	109	129	203	369
ABCA7	60	153	137	278	95	425	189	130	108	199	60	27	119	46	67	88	66	72
ABCA8	0	0	0	2	0	5	0	0	1	1	0	0	0	0	0	0	1	1
ABCA9	0	0	0	0	7	7	0	0	22	7	10	0	2	9	1	85	21	12
ABCA9-AS1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	3	60	0	0	0	0	0	0	0	0	0
ABCB10	803	313	773	940	863	163	1454	696	252	382	688	199	204	293	169	148	728	247
ABCB10P1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	19	0	4	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0
ABCB5	0	3	1	4	0	1	0	12	0	38	0	0	4	10	46	17	0	0
ABCB6	53	39	76	17	73	0	133	20	69	47	50	6	46	48	39	34	129	35
ABCB7	38	10	6	18	0	0	112	2	47	87	1	0	0	7	27	24	47	28
ABCB8	42	12	40	6	12	1	35	2	0	0	0	0	0	0	0	9	23	0
ABCB9	36	19	8	130	19	36	39	30	36	36	51	17	8	49	62	48	36	15
ABCC1	85	133	150	179	226	97	232	258	329	144	64	76	111	106	187	64	311	85
ABCC10	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	6	1
ABCC11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	13	0	0	60	0	0	0	0	0	0	0	0	0	1	0	12
ABCC2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABCC3	21266	9091	27281	12960	28090	7091	21640	10625	36594	38206	27503	12671	18440	24918	10604	22331	27216	5186
ABCC4	17052	11001	10833	14032	24214	3019	17324	27768	24162	22391	21087	16651	10395	11943	17988	12545	27429	12642
ABCC5	1538	1322	1155	323	1045	92	955	555	3117	2431	1083	1163	691	1602	985	1092	1654	818
ABCC5-AS1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	41	4	7	13	0	19	18	19	3	0	0	9	2	3	2	0	1	5
ABCC6P1	23	13	36	61	8	23	49	23	25	27	7	10	0	12	18	3	0	47
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ABCC9	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0
ABCD1	91	194	213	38	220	15	362	92	272	291	162	143	148	139	152	116	157	55
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
ABCD3	203	94	178	81	221	34	0	0	351	285	65	14	0	53	2	62	179	239
ABCD4	1	23	50	15	32	0	42	5	24	64	4	27	35	14	47	68	50	23
ABCE1	61	5	0	25	0	0	46	25	149	90	0	77	9	13	6	0	11	315
ABCF1	237	195	296	81	179	67	227	117	363	306	239	50	214	255	143	186	460	202
ABCF2	40	18	0	0	0	2	31	0	32	0	12	51	80	0	24	0	15	64
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	21	0	30	0	17	0	9	0	30	0	16	0	14	11	0	17	8	21
ABCG1	0	12	1	4	1	11	1	0	2	0	1	0	1	3	1	1	3	1
ABCG2	0	51	36	0	10	5	0	0	0	0	0	0	0	1	0	0	7	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	1	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0
ABHD1	0	9	19	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ABHD10	136	132	117	20	48	7	179	131	192	404	213	52	219	315	339	163	271	404
ABHD11	208	178	176	108	283	42	324	97	462	911	244	85	151	252	147	119	366	123
ABHD11-AS1	10	13	36	264	4	45	73	57	5	18	12	5	1	0	32	20	4	0
ABHD12	871	328	795	98	799	71	383	107	432	548	198	83	148	279	175	144	307	98
ABHD12B	11	26	12	0	15	21	6	21	17	8	23	1	23	26	21	5	23	58
ABHD13	164	111	278	141	103	45	245	136	376	1015	279	220	126	191	90	364	506	216
ABHD14A	196	96	208	96	190	0	39	269	64	58	9	69	56	49	32	13	42	25
ABHD14A-ACY1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
ABHD14B	1317	1518	3007	1277	2244	531	2389	3366	722	633	684	511	675	405	563	379	677	523
ABHD15	1	8	0	0	0	4	0	0	0	9	3	0	15	0	1	0	7	17
ABHD15-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	219	153	178	69	240	4	208	117	319	382	176	95	155	112	95	132	182	86
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	2205	5239	5055	439	6733	110	6489	5749	4870	4227	3267	2266	4779	3095	2732	2309	4509	2101
ABHD17AP1	10	26	29	2	47	0	36	37	19	21	17	8	33	13	11	13	24	12
ABHD17AP3	3	17	30	23	36	6	12	33	11	13	15	3	17	8	13	8	15	8
ABHD17AP4	24	4	6	1	19	0	6	11	57	21	2	4	62	21	3	15	9	2
ABHD17AP5	27	38	43	3	20	6	28	17	42	42	55	6	23	11	13	16	20	13
ABHD17AP6	2	1	5	2	8	0	2	4	8	2	2	1	6	4	2	3	3	4
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	18	30	53	0	88	18	16	5	42	346	18	32	6	43	33	17	94	26
ABHD17C	0	0	0	4	2	10	73	0	0	21	1	0	0	12	29	1	21	1
ABHD18	162	138	113	106	57	27	41	59	109	389	96	431	69	46	98	161	230	105
ABHD2	118	140	147	31	108	35	91	86	121	290	35	39	98	74	104	133	162	147
ABHD3	294	118	449	16	291	37	352	194	468	1238	418	294	48	66	155	319	307	207
ABHD4	14883	10615	10973	2427	14598	1286	12747	3520	6846	9724	3500	3479	3234	3256	4588	2710	5610	2240
ABHD5	2156	646	748	803	1512	224	1042	822	1606	1006	1438	803	473	1581	886	1057	1039	998
ABHD6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABHD8	27	10	5	2	0	1	42	31	0	0	0	12	26	4	0	0	2	23
ABI1	6922	4353	5101	2466	4087	1158	8602	2892	13792	25977	16421	8158	6214	14336	9367	12528	10368	11523
ABI1P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI2	2327	2088	3873	1095	2643	799	2648	2041	4376	5154	2911	2272	2374	3164	2985	2726	3970	2506
ABI3	16	24	7	0	0	1	0	0	239	62	22	63	15	25	5	15	46	117
ABI3BP	0	0	8	9	0	12	0	0	0	0	3	0	0	0	1	1	0	0
ABITRAM	961	384	377	167	184	91	693	131	1126	355	401	400	344	924	240	544	848	464
ABITRAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	0	5	0	0	0	10	0	0	2	0	0	0	0	0	0	0	11	13
ABL2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1
ABLIM1	2321	1813	4411	1205	3280	542	4265	1063	7637	4289	2794	1089	940	3216	2195	2062	2717	1880
ABLIM2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0
ABLIM3	19869	16953	23354	5622	26065	4797	26077	6589	22184	19761	15968	10436	11870	14033	10296	9835	17890	9704
ABO	12319	6954	16	26010	10431	1593	4727	14997	6877	7117	5466	3024	2665	6106	2818	6227	4079	2699
ABR	9	88	70	46	69	6	128	49	169	111	119	142	46	221	44	17	58	42
ABRA	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
ABRACL	221	168	174	970	231	228	439	847	306	513	395	305	190	91	98	372	377	748
ABRAXAS1	177	162	636	431	140	216	376	147	690	472	822	511	346	407	466	390	503	864
ABRAXAS2	54	0	8	3	12	1	102	15	1	0	19	32	0	11	19	0	14	51
ABT1	66	65	41	27	47	68	105	99	247	129	50	13	33	24	27	50	56	72
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	5855	8163	5557	1432	9041	309	10745	4228	10131	8826	4453	4504	6750	6134	4919	4552	9875	3034
ABTB2	0	1	0	0	0	0	0	2	0	0	0	1	0	3	0	0	22	0
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000058.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000061.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000065.2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	0	2	0	1	2	0	0	0	0	0	0	8	2	0	4	2	1	2
AC000068.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000072.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000082.1	3	19	14	37	16	1	10	2	28	28	23	9	30	20	6	27	21	17
AC000085.1	0	0	0	0	0	14	0	0	0	10	0	0	0	0	4	0	0	0
AC000089.1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC000093.1	10	120	75	153	105	9	169	337	229	169	94	47	64	66	69	93	154	7
AC000095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000113.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000114.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.3	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000124.1	0	0	1	2	0	0	0	11	0	6	0	0	0	0	3	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
AC001226.1	6	11	0	0	0	0	0	0	8	0	8	2	0	0	7	0	1	3
AC001226.2	0	0	0	0	0	0	0	0	9	11	0	0	6	2	0	6	0	0
AC002044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AC002044.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC002044.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002056.1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002056.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002057.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.1	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0
AC002059.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.3	21	0	2	0	0	5	0	3	12	0	0	0	0	1	0	0	9	10
AC002064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	36	5	0	0	0	7	0	9	1	0	0	7	0	0	67	44	8	10
AC002069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0
AC002069.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	1224	539	570	2039	1040	1586	413	1567	756	650	365	329	585	506	406	362	376	604
AC002072.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC002074.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002074.2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.2	4	0	2	37	4	39	3	17	4	2	2	0	2	4	0	5	6	6
AC002076.1	24	0	0	0	3	0	1	0	2	10	5	1	2	0	1	0	1	0
AC002076.2	51	19	13	9	14	0	9	1	165	100	201	115	96	196	367	106	103	161
AC002090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002091.1	0	24	4	23	18	0	0	10	30	24	13	0	15	21	22	58	11	24
AC002091.2	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0
AC002094.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002094.5	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC002101.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AC002127.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.1	0	0	9	0	0	0	0	1	13	0	0	0	0	5	0	15	5	0
AC002128.2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AC002310.1	38	0	7	0	0	3	2	0	23	17	0	0	0	12	3	0	0	13
AC002310.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
AC002310.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.5	0	4	1	0	0	0	0	0	2	12	0	0	0	1	0	1	9	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002347.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002347.2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC002350.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002350.2	20	4	12	2	22	0	52	7	22	3	29	24	29	22	25	15	8	27
AC002351.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002359.1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AC002365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002377.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002381.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.1	2	0	0	0	0	0	4	0	0	0	4	5	0	0	0	1	0	12
AC002401.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
AC002401.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002407.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002407.2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
AC002416.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002428.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	0	2	16	2	0	39	0	0	0	0	0	0	0	0	1	27	0	18
AC002451.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002456.1	73	113	37	1524	65	469	314	330	398	145	120	396	463	572	274	1782	174	764
AC002456.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	9	5	0
AC002460.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002460.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002461.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002463.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002464.1	0	0	0	18	0	40	18	1	0	0	0	0	0	0	0	0	0	0
AC002465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.1	113	81	109	277	156	62	138	121	208	138	117	170	78	265	243	239	452	247
AC002470.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC002470.2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	3	1	1
AC002472.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AC002472.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AC002480.2	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
AC002486.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002487.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002504.1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
AC002511.1	0	49	14	0	0	0	0	7	76	0	17	29	35	23	67	11	55	35
AC002511.2	0	24	7	0	0	0	0	0	56	2	13	0	36	10	20	6	22	14
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
